Acaena exigua
Acalypha dikuluwensis
Acalypha rubrinervis
Acalypha wilderi
Acanthametropus pecatonica
Achatinella abbreviata
Achatinella apexfulva vittata
Achatinella buddii
Achatinella bulimoides rosea
Achatinella caesia
Abutilon pitcairnense
Ameca splendens
Anaxyrus baxteri
Aylacostoma chloroticum
Aylacostoma guaraniticum
Aylacostoma stigmaticum
Bromus bromoideus
Bromus interruptus
Brugmansia arborea
Brugmansia aurea
Aaadonta angaurana
Aaadonta constricta babelthuapi
Aaadonta constricta constricta
Aaadonta constricta komakanensis
Aaadonta fuscozonata depressa
Aaadonta fuscozonata fuscozonata
Aaadonta irregularis
Aaadonta kinlochi
Aaadonta pelewana
Aaptosyax grypus
Achatinella casta
Achatinella decora
Achatinella dimorpha
Achatinella elegans
Achatinella juddii
Achatinella juncea
Achatinella lehuiensis
Achatinella livida
Achatinella papyracea
Achatinella spaldingi
Achatinella thaanumi
Achatinella valida
Achyranthes atollensis
Acipenser nudiventris Aral Sea stock
Acrocephalus astrolabii
Acrocephalus luscinius
Acrocephalus musae
Acrocephalus nijoi
Acrocephalus yamashinae
Adiantum lianxianense
Advena campbelli
Aegolius gradyi
Afrocyclops pauliani
Agrotis crinigera
Agrotis fasciata
Agrotis kerri
Agrotis laysanensis
Agrotis photophila
Agrotis procellaris
Akialoa ellisiana
Akialoa lanaiensis
Akialoa obscura
Akialoa stejnegeri
Alasmidonta mccordi
Alasmidonta robusta
Alasmidonta wrightiana
Alburnus akili
Alburnus nicaeensis
Alcelaphus buselaphus buselaphus
Alectroenas nitidissimus
Alectroenas payandeei
Alinea luciae
Alloperla roberti
Alopecoenas ferrugineus
Alopecoenas salamonis
Alopochen kervazoi
Alopochen mauritiana
Amaranthus brownii
Amastra albolabris
Amastra cornea
Amastra crassilabrum
Amastra elongata
Amastra forbesi
Amastra pellucida
Amastra porcus
Amastra reticulata
Amastra subrostrata
Amastra subsoror
Amastra tenuispira
Amastra umbilicata
Amazona martinicana
Amazona violacea
Amphicyclotulus guadeloupensis
Amphigyra alabamensis
Anabarilius macrolepis
Anas marecula
Anas theodori
Angraecopsis dolabriformis
Angraecum astroarche
Anthornis melanocephala
Aphanapteryx bonasia
Aphanius splendens
Brugmansia insignis
Brugmansia sanguinea
Brugmansia suaveolens
Brugmansia versicolor
Brugmansia vulcanicola
Camellia amplexicaulis
Corvus hawaiiensis
Corypha taliera
Cryosophila williamsii
Cryptoblepharus egeriae
Cyanea pinnatifida
Cyanea superba
Cyanea superba subsp. superba
Cyprinodon alvarezi
Cyprinodon longidorsalis
Cyrtandra waiolani
Diplazium laffanianum
Elaphurus davidianus
Encephalartos brevifoliolatus
Encephalartos nubimontanus
Encephalartos relictus
Encephalartos woodii
Erythroxylum echinodendron
Euphorbia mayurnathanii
Franklinia alatamaha
Hypotaenidia owstoni
Kokia cookei
Lachanodes arborea
Lepidodactylus listeri
Leptogryllus deceptor
Lysimachia minoricensis
Mangifera casturi
Mangifera rubropetala
Megupsilon aporus
Mitu mitu
Nectophrynoides asperginis
Nilssonia nigricans
Nymphaea thermarum
Oryx dammah
Partula dentifera
Partula faba
Partula hebe
Partula mirabilis
Partula mooreana
Partula nodosa
Partula rosea
Partula suturalis
Partula suturalis strigosa
Partula suturalis vexillum
Partula taeniata elongata
Partula taeniata nucleola
Partula taeniata simulans
Partula tohiveana
Partula tristis
Partula varia
Rhododendron kanehirai
Senecio leucopeplus
Skiffia francesae
Sophora toromiro
Stenodus leucichthys
Terminalia acuminata
Thermosphaeroma thermophilum
Todiramphus cinnamominus
Trochetiopsis erythroxylon
Zenaida graysoni
Aplocheilichthys Naivasha
Aplonis corvina
Aplonis fusca
Aplonis mavornata
Aplonis ulietensis
Ara tricolor
Argocoffeopsis lemblinii
Argyresthia castaneella
Argyroxiphium virescens
Astragalus nitidiflorus
Atelopus longirostris
Atelopus vogli
Athearnia crassa
Atlantisia podarces
Auriculella expansa
Auriculella uniplicata
Barbus microbarbis
Basananthe cupricola
Begonia eiromischa
Belgrandiella intermedia
Bermuteo avivorus
Bettongia anhydra
Bettongia pusilla
Blutaparon rigidum
Bolyeria multocarinata
Boromys offella
Boromys torrei
Bos primigenius
Bradycellus chavesi
Brotomys voratus
Bulweria bifax
Bythinella gibbosa
Bythinella limnopsis
Bythinella mauritanica
Bythinella microcochlia
Bythinella punica
Byttneria ivorensis
Cabalus modestus
Calathus extensicollis
Calathus vicenteorum
Caldwellia philyrina
Caloenas maculata
Caloprymnus campestris
Cambarellus alvarezi
Cambarellus chihuahuae
Campolaemus perexilis
Campomanesia lundiana
Campsicnemus mirabilis
Camptorhynchus labradorius
Caracara lutosa
Carelia anceophila
Carelia bicolor
Carelia cochlea
Carelia cumingiana
Carelia dolei
Carelia evelynae
Carelia glossema
Carelia hyattiana
Carelia kalalauensis
Carelia knudseni
Carelia lirata
Carelia lymani
Carelia mirabilis
Carelia necra
Carelia olivacea
Carelia paradoxa
Carelia periscelis
Carelia pilsbryi
Carelia sinclairi
Carelia tenebrosa
Carelia turricula
Carpodacus ferreorostris
Casearia quinduensis
Casearia tinifolia
Cenchrus agrimonioides laysanensis
Centaurea pseudoleucolepis
Centrobunus braueri
Chaeropus ecaudatus
Chaetoptila angustipluma
Chambardia letourneuxi
Characodon garmani
Chasmistes muriei
Chelonoidis abingdonii
Chelonoidis niger
Chenonetta finschi
Chilonopsis blofeldi
Chilonopsis exulatus
Chilonopsis helena
Chilonopsis melanoides
Chilonopsis nonpareil
Chilonopsis subplicatus
Chilonopsis subtruncatus
Chilonopsis turtoni
Chioninia coctei
Chloridops kona
Chlorostilbon bracei
Chlorostilbon elegans
Chondrostoma scodrense
Chrysophyllum januariense
Ciridops anna
Clappia cahabensis
Clappia umbilicata
Clavicoccus erinaceus
Clelia errabunda
Clermontia multiflora
Cnidoscolus fragrans
Coenocorypha barrierensis
Coenocorypha iredalei
Colaptes oceanicus
Coleophora leucochrysella
Collisella edmitchelli
Colparion madgei
Columba jouyi
Columba thiriouxi
Columba versicolor
Commidendrum gummiferum
Conilurus albipes
Conilurus capricornensis
Conozoa hyalina
Contomastix charrua
Conuropsis carolinensis
Copeoglossum redondae
Coregonus alpenae
Coregonus bezola
Coregonus fera
Coregonus gutturosus
Coregonus hiemalis
Coregonus johannae
Coregonus nigripinnis
Coregonus oxyrinchus
Coregonus restrictus
Coryphomys buehleri
Cottus echinatus
Coturnix novaezelandiae
Coua delalandei
Craugastor chrysozetetes
Craugastor escoces
Crudia zeylanica
Cryptonanus ignitus
Cryptoprocta spelea
Ctenochromis pectoralis
Ctenoglypta newtoni
Cupaniopsis crassivalvis
Cyanea arborea
Cyanea comata
Cyanea copelandii subsp. copelandii
Cyanea cylindrocalyx
Cyanea dolichopoda
Cyanea eleeleensis
Cyanea giffardii
Cyanea linearifolia
Cyanea mauiensis
Cyanea minutiflora
Cyanea parvifolia
Cyanea pohaku
Cyanea pycnocarpa
Cyanea quercifolia
Cyanea sessilifolia
Cyanea superba subsp. regina
Cyanoramphus ulietanus
Cyanoramphus zealandicus
Cyclophorus horridulum
Cyclosurus mariei
Cyclura onchiopsis
Cylindraspis indica
Cylindraspis inepta
Cylindraspis peltastes
Cylindraspis triserrata
Cylindraspis vosmaeri
Cynometra beddomei
Cyperus rockii
Cyprinodon arcuatus
Cyprinodon ceciliae
Cyprinodon inmemoriam
Cyprinodon latifasciatus
Cyprinodon spp.
Cyprinus yilongensis
Cyrtandra olona
Delilia inelegans
Delissea niihauensis
Delissea subcordata
Delissea subcordata subsp. obtusifolia
Delissea subcordata subsp. subcordata
Delissea undulata
Deloneura immaculata
Diaphorapteryx hawkinsi
Diastole matafaoi
Diceros bicornis longipes
Dicrogonatus gardineri
Dracaena umbraculifera
Drepanis funerea
Drepanis pacifica
Dromaius baudinianus
Dromaius minor
Drosophila lanaiensis
Dryolimnas augusti
Dryophthorus distinguendus
Dryopteris ascensionis
Dupontia proletaria
Dusicyon australis
Dusicyon avus
Dysmorodrepanis munroi
Eclectus infectus
Ectoedemia castaneae
Ectoedemia phleophaga
Ectopistes migratorius
Elimia brevis
Elimia clausa
Elimia fusiformis
Elimia gibbera
Elimia hartmaniana
Elimia impressa
Elimia jonesi
Elimia lachryma
Elimia laeta
Elimia macglameriana
Elimia pilsbryi
Elimia pupaeformis
Elimia pygmaea
Elimia vanuxemiana
Emoia nativitatis
Empetrichthys merriami
Epioblasma arcaeformis
Epioblasma biemarginata
Epioblasma flexuosa
Epioblasma florentina florentina
Epioblasma haysiana
Epioblasma lenior
Epioblasma lewisii
Epioblasma personata
Epioblasma propinqua
Epioblasma sampsonii
Epioblasma stewardsonii
Epioblasma torulosa gubernaculum
Epioblasma torulosa torulosa
Epioblasma turgidula
Equus hemionus hemippus
Equus quagga quagga
Erepta nevilli
Erythrolamprus perfuscus
Erythromachus leguati
Etheostoma sellare
Eucarlia alluaudi
Eudontomyzon migratory
Euphorbia remyi hanaleiensis
Euphrasia mendoncae
Evarra bustamantei
Evarra eigenmanni
Evarra tlahuacensis
Falco duboisi
Fitchia mangarevensis
Flabellidium spinosum
Fluvidona dulvertonensis
Foudia delloni
Fregilupus varius
Fulica newtonii
Fundulus albolineatus
Galba vancouverensis
Galipea ossana
Gallinula nesiotis
Gambusia amistadensis
Gambusia georgei
Gasterosteus crenobiontus
Gastrocopta chichijimana
Gastrocopta ogasawarana
Gazella bilkis
Gazella saudiya
Genophantis leahi
Geocapromys columbianus
Geocapromys thoracatus
Geonemertes rodericana
Germainaia geayi
Gerygone insularis
Gibbus lyonetianus
Gila crassicauda
Glaucopsyche xerces
Gomidesia cambessedeana
Gonidomus newtoni
Gonospira nevilli
Graecoanatolica macedonica
Guettarda retusa
Gulella mayottensis
Gyrotoma excisa
Gyrotoma lewisii
Gyrotoma pagoda
Gyrotoma pumila
Gyrotoma pyramidata
Gyrotoma walkeri
Habenaria petromedusa
Haematopus meadewaldoi
Harmogenanina linophora
Harmogenanina subdetecta
Helenoconcha leptalea
Helenoconcha minutissima
Helenoconcha polyodon
Helenoconcha pseustes
Helenoconcha sexdentata
Helenodiscus bilamellata
Helenodiscus vernoni
Heleobia spinellii
Helicopsis paulhessei
Helicoverpa confusa
Helicoverpa minuta
Heliotropium pannifolium
Hemignathus lucidus
Hernandia drakeana
Heteralocha acutirostris
Heteropsomys insulans
Hexolobodon phenax
Hibiscadelphus bombycinus
Hibiscadelphus crucibracteatus
Hibiscadelphus wilderianus
Hibiscadelphus woodii
Hibiscus brackenridgei subsp. molokaiana
Himatione fraithii
Hippopotamus lemerlei
Hippopotamus madagascariensis
Hippotragus leucophaeus
Hirasea planulata
Hirstienus nanus
Hopea shingkeng
Hoplodactylus delcourti
Huso huso Adriatic Sea stock
Hydrobia gracilis
Hydrodamalis gigas
Hydropsyche tobiasi
Hygrotus artus
Hypena laysanensis
Hypena newelli
Hypena plagiota
Hypena senicula
Hypolimnus pedderensis
Hypotaenidia dieffenbachii
Hypotaenidia pacifica
Hypotaenidia poeciloptera
Hypotaenidia wakensis
Hypselotriton wolterstorffi
Ilex gardneriana
Ilex ternatiflora
Incerticyclus cinereus
Incerticyclus martinicensis
Incilius periglenes
Islamia ateni
Isolobodon montanus
Isolobodon portoricensis
Ixobrychus novaezelandiae
Juscelinomys candango
Kobus leche robertsi
Kokia lanceolata
Labeo worthingtoni
Labidura herculeana
Lagorchestes asomatus
Lagorchestes leporides
Lagostomus crassus
Lamellidea monodonta
Lamellidea nakadai
Lampsilis binominata
Leiocephalus cuneus
Leiocephalus eremitus
Leiocephalus herminieri
Leiolopisma mauritiana
Leiorhagium solemi
Leiostyla lamellosa
Lepidium amissum
Lepidium obtusatum
Lepidochrysops hypopolia
Lepidomeda altivelis
Leporillus apicalis
Leptoxis clipeata
Leptoxis compacta
Leptoxis foremanii
Leptoxis formosa
Leptoxis ligata
Leptoxis lirata
Leptoxis occultata
Leptoxis showalterii
Leptoxis torrefacta
Leptoxis vittata
Leucocharis loyaltiensis
Leucocharis porphyrocheila
Levuana irridescens
Libera subcavernula
Libera tumuloides
Libythea cinyras
Licania caldasiana
Liocypris grandis
Lithobates fisheri
Littoraria flammea
Littoridina gaudichaudii
Logania depressa
Lophopsittacus bensoni
Lophopsittacus mauritianus
Lottia alveus
Loxops wolstenholmei
Lyropupa perlonga
Macrobrachium leptodactylus
Macropus greyi
Macrotis leucura
Madhuca insignis
Margatteoidea amoena
Marstonia olivacea
Mascarenotus grucheti
Mascarenotus murivorus
Mascarenotus sauzieri
Mascarinus mascarin
Mautodontha acuticosta
Mautodontha consimilis
Mautodontha consobrina
Mautodontha maupiensis
Mautodontha parvidens
Mautodontha punctiperforata
Mautodontha saintjohni
Mautodontha subtilis
Mautodontha unilamellata
Mautodontha zebrina
Mecodema punctellum
Medionidus mcglameriae
Megadytes ducalis
Megalagrion jugorum
Megalobulimus cardosoi
Megalomys desmarestii
Megalomys luciae
Megaoryzomys curioi
Melanoplus spretus
Melicope cruciata
Melicope haleakalae
Melicope macropus
Melicope nealae
Melicope obovata
Melicope paniculata
Melomys rubicola
Mercuria letourneuxiana
Mergus australis
Metazalmoxis ferruginea
Miconia abscondita
Microgoura meeki
Mirogrex hulensis
Moho apicalis
Moho bishopi
Moho braccatus
Moho nobilis
Moxostoma lacerum
Mundia elpenor
